onset	duration	trial_type	value	sample	stim_file
36.1082	0.0	IniUF	13	39719	meg/u099.bmp
37.0964	0.0	btnL	256	40806	n/a
39.4164	0.0	ImmUF	14	43358	meg/u099.bmp
40.0473	0.0	btnL	256	44052	n/a
42.7245	0.0	IniUF	13	46997	meg/u027.bmp
43.7518	0.0	btnR	4096	48127	n/a
45.8309	0.0	ImmUF	14	50414	meg/u027.bmp
46.5027	0.0	btnR	4096	51153	n/a
49.0555	0.0	IniSF	17	53961	meg/s062.bmp
50.09	0.0	btnL	256	55099	n/a
52.3127	0.0	IniUF	13	57544	meg/u082.bmp
53.5645	0.0	btnL	256	58921	n/a
55.5364	0.0	ImmUF	14	61090	meg/u082.bmp
56.7173	0.0	btnL	256	62389	n/a
58.6609	0.0	IniUF	13	64527	meg/u110.bmp
59.6673	0.0	btnR	4096	65634	n/a
61.7509	0.0	ImmUF	14	67926	meg/u110.bmp
64.9418	0.0	IniSF	17	71436	meg/s076.bmp
65.6591	0.0	btnR	4096	72225	n/a
68.2491	0.0	ImmSF	18	75074	meg/s076.bmp
68.8791	0.0	btnR	4096	75767	n/a
71.4736	0.0	IniSF	17	78621	meg/s022.bmp
72.41	0.0	btnR	4096	79651	n/a
74.6645	0.0	IniSF	17	82131	meg/s045.bmp
75.5491	0.0	btnR	4096	83104	n/a
77.7709	0.0	DelSF	19	85548	meg/s062.bmp
79.0545	0.0	btnR	4096	86960	n/a
80.8782	0.0	IniFF	5	88966	meg/f033.bmp
84.1864	0.0	IniUF	13	92605	meg/u020.bmp
85.4109	0.0	btnR	4096	93952	n/a
87.26	0.0	IniUF	13	95986	meg/u120.bmp
88.2191	0.0	btnR	4096	97041	n/a
90.4173	0.0	ImmUF	14	99459	meg/u120.bmp
91.2027	0.0	btnR	4096	100323	n/a
93.6082	0.0	IniSF	17	102969	meg/s099.bmp
96.9155	0.0	DelSF	19	106607	meg/s022.bmp
98.1318	0.0	btnR	4096	107945	n/a
99.9727	0.0	IniFF	5	109970	meg/f103.bmp
103.18	0.0	DelSF	19	113498	meg/s045.bmp
106.3373	0.0	IniFF	5	116971	meg/f001.bmp
109.4445	0.0	ImmFF	6	120389	meg/f001.bmp
110.1418	0.0	btnL	256	121156	n/a
112.6518	0.0	DelFF	7	123917	meg/f033.bmp
113.5564	0.0	btnR	4096	124912	n/a
115.8927	0.0	IniUF	13	127482	meg/u025.bmp
116.7045	0.0	btnR	4096	128375	n/a
119.2009	0.0	DelUF	15	131121	meg/u020.bmp
119.9027	0.0	btnR	4096	131893	n/a
122.3236	0.0	IniUF	13	134556	meg/u135.bmp
123.1845	0.0	btnR	4096	135503	n/a
125.4809	0.0	IniFF	5	138029	meg/f061.bmp
127.3464	0.0	btnL	256	140081	n/a
128.5382	0.0	DelSF	19	141392	meg/s099.bmp
131.8127	0.0	IniUF	13	144994	meg/u055.bmp
135.0364	0.0	ImmUF	14	148540	meg/u055.bmp
138.0936	0.0	DelFF	7	151903	meg/f103.bmp
138.6827	0.0	btnR	4096	152551	n/a
141.1673	0.0	IniSF	17	155284	meg/s106.bmp
142.1036	0.0	btnR	4096	156314	n/a
144.3418	0.0	ImmSF	18	158776	meg/s106.bmp
145.0136	0.0	btnR	4096	159515	n/a
147.5655	0.0	IniFF	5	162322	meg/f076.bmp
148.3991	0.0	btnR	4096	163239	n/a
150.6891	0.0	DelUF	15	165758	meg/u025.bmp
153.8973	0.0	IniSF	17	169287	meg/s136.bmp
157.0373	0.0	ImmSF	18	172741	meg/s136.bmp
157.84	0.0	btnR	4096	173624	n/a
160.2618	0.0	DelUF	15	176288	meg/u135.bmp
161.3345	0.0	btnR	4096	177468	n/a
163.6027	0.0	IniSF	17	179963	meg/s024.bmp
166.6927	0.0	DelFF	7	183362	meg/f061.bmp
168.6218	0.0	btnL	256	185484	n/a
169.8	0.0	IniFF	5	186780	meg/f085.bmp
170.8764	0.0	btnR	4096	187964	n/a
173.0909	0.0	ImmFF	6	190400	meg/f085.bmp
174.0282	0.0	btnR	4096	191431	n/a
176.0809	0.0	IniFF	5	193689	meg/f073.bmp
176.8373	0.0	btnR	4096	194521	n/a
179.1555	0.0	ImmFF	6	197071	meg/f073.bmp
