onset	duration	circle_duration	trial_type	trigger	button_pushed	response_time	stim_file
0.0	0.83	0.481	IniFF	5	7.0	1.302	func/f041.bmp
3.007	0.96	0.407	ImmFF	6	7.0	0.799	func/f041.bmp
6.398	0.923	0.562	IniFF	5	7.0	0.769	func/f048.bmp
9.505	0.883	0.41	ImmFF	6	7.0	0.697	func/f048.bmp
12.645	0.995	0.487	IniSF	17	7.0	0.966	func/s041.bmp
15.936	0.981	0.526	IniFF	5	4.0	0.87	func/f047.bmp
19.16	0.807	0.473	IniSF	17	7.0	0.868	func/s039.bmp
22.166	0.858	0.431	ImmSF	18	7.0	0.988	func/s039.bmp
25.29	0.929	0.495	IniUF	13	4.0	0.803	func/u042.bmp
48.491	0.95	0.488	IniSF	17	7.0	1.001	func/s033.bmp
51.799	0.969	0.592	ImmSF	18	7.0	0.523	func/s033.bmp
55.107	0.88	0.585	IniSF	17	4.0	0.918	func/s038.bmp
58.28	0.847	0.522	ImmSF	18	7.0	0.986	func/s038.bmp
61.353	0.979	0.457	DelSF	19	4.0	0.874	func/s041.bmp
64.527	0.857	0.419	IniUF	13	4.0	0.943	func/u041.bmp
67.684	0.915	0.522	ImmUF	14	4.0	0.724	func/u041.bmp
70.824	0.884	0.464	DelFF	7	4.0	0.919	func/f047.bmp
73.931	0.942	0.454	IniUF	13	4.0	0.969	func/u038.bmp
77.222	0.897	0.57	IniUF	13	4.0	1.075	func/u035.bmp
80.296	0.827	0.417	DelUF	15	4.0	1.368	func/u042.bmp
83.369	0.865	0.478	IniUF	13	4.0	1.12	func/u045.bmp
86.509	0.94	0.511	IniSF	17	7.0	0.991	func/s045.bmp
89.716	0.95	0.491	ImmSF	18	7.0	1.196	func/s045.bmp
92.84	0.943	0.404	IniUF	13	7.0	1.299	func/u048.bmp
95.997	0.904	0.444	IniFF	5	4.0	0.966	func/f033.bmp
99.204	0.97	0.528	DelUF	15	4.0	0.843	func/u038.bmp
102.444	0.884	0.497	IniFF	5	4.0	0.919	func/f038.bmp
105.601	0.879	0.503	ImmFF	6	4.0	0.725	func/f038.bmp
108.675	0.942	0.432	DelUF	15	7.0	1.165	func/u035.bmp
131.943	0.835	0.537	IniFF	5	7.0	1.098	func/f040.bmp
135.001	0.986	0.468	ImmFF	6	7.0	0.676	func/f040.bmp
138.207	0.869	0.458	DelUF	15	4.0	0.863	func/u045.bmp
141.28	0.874	0.439	IniFF	5	7.0	0.845	func/f034.bmp
144.521	0.886	0.588	IniFF	5	4.0	0.867	func/f046.bmp
147.728	0.87	0.56	DelUF	15	4.0	0.919	func/u048.bmp
150.868	0.963	0.496	IniSF	17	7.0	1.067	func/s043.bmp
154.025	0.944	0.428	ImmSF	18	7.0	0.911	func/s043.bmp
157.249	0.89	0.507	DelFF	7	7.0	0.968	func/f033.bmp
160.39	0.812	0.476	IniFF	5	4.0	1.393	func/f037.bmp
163.413	0.926	0.449	ImmFF	6	4.0	0.768	func/f037.bmp
166.553	0.904	0.436	IniUF	13	4.0	0.796	func/u039.bmp
169.643	0.984	0.405	ImmUF	14	4.0	0.71	func/u039.bmp
172.834	0.846	0.441	IniFF	5	7.0	0.69	func/f039.bmp
175.991	0.938	0.539	ImmFF	6	7.0	0.699	func/f039.bmp
179.199	0.852	0.501	DelFF	7	7.0	0.952	func/f034.bmp
182.221	0.897	0.41	IniUF	13	4.0	0.843	func/u043.bmp
185.445	0.834	0.558	DelFF	7	4.0	0.842	func/f046.bmp
188.535	0.946	0.491	IniFF	5	4.0	1.188	func/f035.bmp
211.703	0.931	0.443	IniSF	17	7.0	1.264	func/s040.bmp
214.944	0.921	0.549	ImmSF	18	7.0	0.712	func/s040.bmp
218.184	0.801	0.542	IniFF	5	7.0	0.952	func/f042.bmp
221.341	0.801	0.59	ImmFF	6	7.0	0.735	func/f042.bmp
224.315	0.979	0.411	IniFF	5	4.0	1.025	func/f044.bmp
227.539	0.851	0.476	IniUF	13	7.0	0.998	func/u033.bmp
230.779	0.84	0.575	DelUF	15	4.0	0.818	func/u043.bmp
233.853	0.865	0.455	IniSF	17	7.0	0.865	func/s035.bmp
237.026	0.996	0.548	DelFF	7	4.0	0.804	func/f035.bmp
240.267	0.813	0.471	IniFF	5	7.0	0.821	func/f045.bmp
243.257	0.926	0.416	IniUF	13	4.0	0.952	func/u037.bmp
246.397	0.855	0.438	ImmUF	14	4.0	0.865	func/u037.bmp
249.587	0.841	0.559	IniUF	13	4.0	0.64	func/u047.bmp
252.744	0.842	0.548	ImmUF	14	4.0	0.738	func/u047.bmp
255.818	0.967	0.455	DelFF	7	4.0	0.888	func/f044.bmp
258.976	0.89	0.434	IniSF	17	7.0	1.064	func/s044.bmp
262.149	0.993	0.512	DelUF	15	7.0	1.19	func/u033.bmp
265.406	0.968	0.494	IniSF	17	7.0	1.241	func/s036.bmp
268.63	0.869	0.499	DelSF	19	7.0	1.099	func/s035.bmp
291.848	0.885	0.569	IniFF	5	4.0	1.282	func/f036.bmp
295.055	0.983	0.558	ImmFF	6	4.0	0.742	func/f036.bmp
298.312	0.814	0.516	DelFF	7	7.0	0.574	func/f045.bmp
301.452	0.873	0.563	IniSF	17	7.0	0.887	func/s047.bmp
304.526	0.879	0.427	ImmSF	18	4.0	0.757	func/s047.bmp
307.583	0.99	0.407	IniUF	13	4.0	0.912	func/u044.bmp
310.923	0.863	0.57	IniUF	13	7.0	1.377	func/u034.bmp
314.014	0.912	0.46	DelSF	19	7.0	1.034	func/s044.bmp
317.121	0.837	0.422	IniUF	13	4.0	0.868	func/u046.bmp
320.211	0.93	0.484	DelSF	19	7.0	0.764	func/s036.bmp
323.401	0.859	0.486	IniFF	5	7.0	1.126	func/f043.bmp
326.608	0.825	0.569	ImmFF	6	7.0	0.852	func/f043.bmp
329.632	0.847	0.429	IniSF	17	7.0	0.891	func/s034.bmp
332.672	0.949	0.427	IniSF	17		0.0	func/s042.bmp
335.846	0.812	0.467	ImmSF	18	7.0	0.851	func/s042.bmp
338.936	0.897	0.506	DelUF	15	4.0	0.853	func/u044.bmp
342.109	0.979	0.507	IniUF	13	4.0	0.796	func/u036.bmp
345.417	0.888	0.555	ImmUF	14	4.0	0.628	func/u036.bmp
348.59	0.946	0.504	DelUF	15	4.0	0.727	func/u034.bmp
371.809	0.953	0.494	IniSF	17	7.0	1.197	func/s046.bmp
375.016	0.984	0.496	DelUF	15	4.0	0.844	func/u046.bmp
378.306	0.809	0.545	IniSF	17	4.0	0.995	func/s037.bmp
381.413	0.931	0.527	IniUF	13	4.0	0.812	func/u040.bmp
384.587	0.901	0.474	ImmUF	14	4.0	0.9	func/u040.bmp
387.827	0.841	0.579	DelSF	19	7.0	1.404	func/s034.bmp
390.851	0.961	0.416	IniSF	17	7.0	1.382	func/s048.bmp
394.041	0.812	0.452	ImmSF	18	7.0	1.118	func/s048.bmp
